m,q,branch,base_density,one_extra_gain,two_extra_gain,expected_two_extra_gain,formula_error,excess_over_twice_one_gain,positive_extra_count,extra_0_length,extra_1_length,extra_length_bound,success,status_name,mip_gap,mip_node_count,solution
3,1,larger,0.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,0,variable_extra_milp_m3_q1_anchor0_freebase0_extra2_solution.json
4,1,smaller,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,0,variable_extra_milp_m4_q1_anchor0_freebase0_extra2_solution.json
4,2,larger,0.16666666666666666,0.005208333333333315,0.005208333333348997,0.005208333333333333,1.566368562633258e-14,-0.005208333333317633,1,1.5205568225661505e-14,0.005208333333333798,,True,optimal,0.0,24,variable_extra_milp_m4_q2_anchor0_freebase0_extra2_solution.json
5,2,larger,0.17142857142857143,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,11,variable_extra_milp_m5_q2_anchor0_freebase0_extra2_solution.json
6,2,larger,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,1,variable_extra_milp_m6_q2_anchor0_freebase0_extra2_solution.json
7,2,larger,0.15873015873015872,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,5,variable_extra_milp_m7_q2_anchor0_freebase0_extra2_solution.json
8,2,smaller,0.15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,1,variable_extra_milp_m8_q2_anchor0_freebase0_extra2_solution.json
8,3,larger,0.15000000000000002,0.003124999999999989,0.0031250000000000444,0.003125,4.423544863740858e-17,-0.0031249999999999334,1,0.0031250000000000583,0.0,,True,optimal,0.0,109,variable_extra_milp_m8_q3_anchor0_freebase0_extra2_solution.json
9,3,larger,0.15151515151515152,0.0011223344556678116,0.001122334455667784,0.001122334455667789,-5.204170427930421e-18,-0.0011223344556678394,1,-0.0,0.0011223344556678043,,True,optimal,0.0,54,variable_extra_milp_m9_q3_anchor0_freebase0_extra2_solution.json
10,3,larger,0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,,True,optimal,0.0,63,variable_extra_milp_m10_q3_anchor0_freebase0_extra2_solution.json
